"Content","Page"
"Theshelterhomeauthorityshall
evolveaCrisisManagementPlan
(CMP)toaddreressarangeofforere
seeablecrises(e.g.death,outbrereaksof
illness,fireres,seriousallegationsorr
complaints,significantaccidents,staff
shortage,andcontrorolproroblemswithin
orr outside the home).","14"
"TheHomeshallappointstaffonly
afterradequatescrereeningaboutthe
pastrerecordofthestaff,ensuringthat
thestaffhasnotshownanyparticularr
behaviorrinthepastthatcouldbea
potentsourceofdangere.g.
psychiatricdisorderscausingviolence
orrselfdestructivebehavior,r,isnot
sufferingfroromsubstanceaddiction/
habit(includingtobaccoandalcohol),
exhibitsabusivebehavior,r,offending
orrcriminalbehavior,r,etc.Fullcarere
shallbetakennottoappointany
person habituated to dangerorous drugs.","14"
"Authorizedindividualsandother
visitorsshallbegivenaccesstothe
Homeonlyafftertheyundergoa
proroperrscrutinyaswellasmakean
entryintoareregisterrthatincludesthe
detailsofftheiridentity,y,andan","14"
"Carerestaffshouldbeabletoopenthe
doorstobathrooms,showersand
toiletsfroromtheoutsideincaseof
emergency.y.","15"
"annoyance to the othersreresiding in the
same ppreremises.","16"
"ViVictimsshallbeprorovidedwithclothes
frereeofcostatleasttwiceayearr
includingtwosetsofschooluniforms
whereapplicable.Theyshouldbe
encouragedandenabledtochoose
theirownclothesandpersonal
rerequisites within a broroaderr framework
and hhave tthese nneeds ffully mmet.","16"
"EachHomeshallmaketheadult
victimsawarerethattheycanhave
accesstotheirrfiles.Incaseofminorr
victimstheaccesswillbegivenunderr
supervisionofarerepreresentativeof/with
aspecificpermissionfroromthesemi
judicialcompetentsupervisingbody/
constitutedunderrthejuvenilejustice
system.","16"
"Homesshallnotimposeauniformon
thereresidentvictimsindaytoday
living.Uniformsmaybeenforcrcedforr
specialactivitiessuchasdrill,
schooling, sports, etc.","16"
"Novictimshallbeforcrcedtofollowa
commonhair-r-style.ViVictimsshallhave
frereedomtomaintaintheirrownhairr
style.","16"
"EachHomeshallmaintainaguide
bookcontainingmap,design,accessto
theHomeaswellasthepurpose,
prorocedurere aand ppolicy oof tthe HHome.","16"
"Theauthoritiesshallinterferere,suggest
tomodify,y,and/orrenforcrcethatthe
victimgiveupanyparticularrhairr
style, iif iit iis aassessed aand rrerecorded tto bbe
dangerorousorrunsuitableongroroundsof
health,hygiene,certainminimum
standardsofdecencyinpubliclifeorr
becomingasourcrceofillhealth","16"
"Incaseoftheuseofphysicalrerestraint
onaminorrbyanadult,arerecordshall
bekeptinaseparateboundand
numbereredbook,whichshallmention
thenameoftheminor,r,thedate,time
andlocation,detailsofthebehaviorr
rerequiringuseofrerestraint,thenaturere
ofthererestraintused,thedurationof
thererestraint,thenameofthestaff
member(s)usingrestraint,the
name(s)ofanyotherrstaff,childreren/
womenorrotherrpersonspreresent,the
effectivenessandanyconsequencesof
thererestraint,anyinjuriescausedtoorr
rereportedbythevictimorranyotherr
person,andthesignaturereofaperson
authorizedbythereregistereredpersonto
make tthe rrerecord.","19"
"TheHomeshallmaintainafileonthe
victimsandtheirrminorrdependants
containingtheirrPersonalEducation
Plan(PEP)settingoutarerecordof
theirreducationalachievements,needs
andaspirations.(Seealsoprovisions
under the Chapter: Case Management)","21"
"State/Homesshallmaintainallrerelevant
detailsonthevictimsafterrthererescue
prorocessanddealwitheachvictimona
case management basis.","24"
"Everyvictimshallhavetherightto
inquirereaboutsuchpersonalrerecordsas
approropriate.","24"
"Consideringthefactthatupsanddowns
areinevitableinanyperson'sliffe,
provisionshallbemadetooffffersupport
servicesforusebythevictimevenaftera
certaindegreeofrehabilitationandsocial
reintegration.Theseservicesshallnot
createanyobstacleinthereintegration
processbyrevealingtheidentityofthe
victim. TThis will be aachieved by settiting up
Drop-inCentersandfollow-upactivities
aswellasbybuildingupconfidence
amongthevictimstomakeuseofthose
support sservices wwhen rrequired.","27"
"Upondischarge,eachvictimshallbe
prorovidedwithherreducationalrerecords,
medicalrerecords,legaldocuments,and
othermeanssuchassavingsand
personal bbelongings.","27"
"Internet/cyberspacebasedsystemsoff
sharingimportantinformationonthe
victim(withduecareforconfidentiality)
amongthevarioussocialagenciesshall
bemainstreamedtomaximizethe
utilizationoffresourcesandefffforts,
minimizewastageandreducethechances
of rrelapse oor rre ttrafffficking.","29"
"seniorrandhighlevelofficialofthe
Homeshallpersonallyapprorovethe
EconomicRehabilitationPlan(ERP)
andperiodicallyassessprorogreressforr
each vvictim.","30"
